METADATA
VIDEO_FPS,60
TORSION RESULTS
Frame Index,Frame Time,Torsion [deg]
142,2.3666666666666667,-0.80000000000137561
143,2.3833333333333333,-0.7000000000013813
144,2.4,-0.80000000000137561
145,2.4166666666666665,-0.90000000000136993
146,2.433333333333333,-0.90000000000136993
147,2.45,-0.90000000000136993
148,2.466666666666667,-0.80000000000137561
149,2.4833333333333334,-0.90000000000136993
150,2.5,-1.0000000000013642
151,2.5166666666666666,-1.0000000000013642
152,2.533333333333333,-1.1000000000013586
153,2.55,-1.0000000000013642
154,2.5666666666666664,-1.1000000000013586
155,2.5833333333333335,-1.0000000000013642
156,2.6,-0.90000000000136993
157,2.6166666666666667,-0.90000000000136993
158,2.6333333333333333,-1.0000000000013642
159,2.65,-1.0000000000013642
160,2.6666666666666665,-0.80000000000137561
161,2.683333333333333,-0.90000000000136993
162,2.7,-0.90000000000136993
